Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-8135.821	-8393.124	257.3032	0.7866666	1.650678	0.5522512	8.09942
6	-8131.651	-8388.197	256.5454	0.7416997	1.635468	0.6879562	8.429404
12	-8124.626	-8381.316	256.6893	0.7416997	1.4855	0.6602579	8.429404
18	-8126.191	-8384.033	257.842	0.8207456	1.653436	0.5682063	7.779728
24	-8134.517	-8393.202	258.6854	0.8326405	1.726272	0.5919019	7.276659
30	-8119.928	-8378.33	258.4029	0.8739063	1.559242	0.5654566	7.488505
36	-8107.491	-8365.884	258.3931	0.8097664	1.775329	0.5191628	7.488505
42	-8130.816	-8389.722	258.9066	0.8415658	1.741103	0.5919019	7.147778
48	-8132.995	-8392.077	259.082	0.8559231	1.741103	0.5919019	7.045681
54	-8134.684	-8394.057	259.3736	0.8559231	1.6853	0.5977132	6.903949
60	-8120.252	-8380.07	259.8179	0.8923161	1.667523	0.5977132	6.650954
66	-8139.975	-8398.352	258.3771	0.8805915	1.530201	0.6101836	7.474539
72	-8140.091	-8397.072	256.9813	0.7777089	1.4779	0.6708011	8.250362
78	-8133.962	-8390.695	256.7333	0.716035	1.4779	0.6410848	8.436623
84	-8131.717	-8388.608	256.8913	0.7654756	1.610088	0.6994206	8.23412
90	-8126.093	-8381.804	255.7105	0.7984074	1.558118	0.8101954	8.790745
96	-8108.522	-8366.368	257.846	0.7730892	1.558118	0.571573	7.835843
102	-8113.198	-8373.033	259.835	0.9027076	1.548294	0.6036385	6.676292
108	-8110.62	-8369.764	259.1443	0.8996016	1.548294	0.6306723	7.029727
114	-8109.393	-8368.526	259.1326	0.9143216	1.542949	0.5141325	7.124584
120	-8108.944	-8368.032	259.0878	0.8788795	1.610045	0.5346567	7.124584
126	-8120.178	-8379.184	259.0062	0.8788795	1.610045	0.5882334	7.124584
132	-8117.413	-8376.486	259.0734	0.8370385	1.610045	0.571201	7.124584
138	-8114.668	-8371.997	257.3285	0.8505146	1.489364	0.5289241	8.132339
144	-8122.148	-8379.542	257.394	0.7629528	1.489364	0.5289241	8.144096
150	-8110.069	-8367.341	257.2723	0.7877712	1.625144	0.5289241	8.144096
156	-8125.025	-8382.838	257.8126	0.8297337	1.609355	0.5793722	7.797917
162	-8117.995	-8375.79	257.7956	0.8339896	1.609355	0.5879636	7.797917
168	-8117.695	-8375.452	257.7573	0.7954503	1.722806	0.5879636	7.797917
174	-8121.176	-8380.558	259.3816	0.9163002	1.722806	0.5541249	6.888847
180	-8115.468	-8374.545	259.0771	0.9163002	1.656314	0.5800201	7.055709
186	-8122.723	-8381.911	259.1883	0.9489366	1.619807	0.5040787	7.055709
192	-8128.017	-8386.038	258.0207	0.8336506	1.680643	0.5040787	7.721515
198	-8136.564	-8393.859	257.2943	0.8543637	1.680643	0.5045497	8.097757
204	-8131.153	-8391.006	259.853	0.9141982	1.820122	0.5043804	6.644268
210	-8132.629	-8392.556	259.9262	0.8266201	1.759231	0.5375991	6.644268
216	-8120.368	-8377.97	257.6019	0.8589728	1.684775	0.5375991	7.901403
222	-8117.843	-8377.741	259.898	0.9369239	1.724091	0.5375991	6.612291
228	-8125.235	-8383.577	258.342	0.8863929	1.88309	0.5375991	7.422723
234	-8122.409	-8381.762	259.3524	1.020638	1.715894	0.567854	6.839492
240	-8105.791	-8365.307	259.5161	0.8569239	1.715894	0.567854	6.839492
246	-8111.896	-8371.844	259.9485	0.9001945	1.742819	0.5598325	6.57954
252	-8107.96	-8367.097	259.1366	0.8712204	1.691628	0.5178531	7.087008
258	-8107.166	-8366.177	259.0112	0.8712204	1.826756	0.6130156	7.029509
264	-8120.248	-8378.1	257.8518	0.7747763	1.922838	0.6130156	7.671496
270	-8113.518	-8371.145	257.6264	0.8837586	1.844829	0.6130156	7.759367
276	-8108.28	-8368.064	259.7841	0.8703194	1.5433	0.5793741	6.742453
282	-8113.892	-8371.605	257.7125	0.7699237	1.473463	0.6073737	7.913553
288	-8136.861	-8395.647	258.7853	0.8607196	1.354443	0.5878736	7.355153
294	-8121.782	-8381.625	259.8431	0.8834343	1.607426	0.5878736	6.672199
300	-8124.657	-8382.842	258.1855	0.9263172	1.879185	0.4470934	7.567666
306	-8122.957	-8380.565	257.6084	0.8473805	1.923601	0.6444674	7.738885
312	-8122.435	-8381.381	258.9468	0.8804967	1.595017	0.6444674	7.11812
318	-8135.768	-8394.9	259.1322	0.794341	1.595017	0.5789371	7.115285
324	-8135.384	-8394.003	258.618	0.8030163	1.739721	0.5757396	7.336829
330	-8126.917	-8384.784	257.8668	0.8373401	1.739721	0.5408266	7.749318
336	-8128.543	-8385.086	256.543	0.8139757	1.434971	0.5921413	8.539909
342	-8126.141	-8385.106	258.9645	0.8941021	1.516638	0.5482546	7.206988
348	-8118.176	-8375.738	257.5619	0.6742671	1.516638	0.5482546	8.075065
354	-8114.624	-8372.744	258.1203	0.8431254	1.773259	0.5482546	7.592804
360	-8117.325	-8375.308	257.9825	0.8095516	1.378203	0.5843169	7.805069
366	-8132.239	-8390.78	258.5412	0.8325561	1.310126	0.5843169	7.522993
372	-8109.827	-8368.302	258.4759	0.7954434	1.714962	0.5843169	7.419016
378	-8113.213	-8371.635	258.4222	0.8490829	1.714962	0.5843169	7.419016
384	-8116.595	-8375.106	258.5113	0.8566824	1.596049	0.5737715	7.419016
390	-8106.976	-8364.175	257.1985	0.7840908	1.676781	0.5737715	8.129739
396	-8122.693	-8381.977	259.2833	0.9317997	1.845868	0.5737715	6.874811
402	-8122.913	-8380.331	257.4183	0.7543934	1.616816	0.5753204	8.048988
408	-8127.869	-8384.16	256.2907	0.7835356	1.616816	0.4930999	8.702226
414	-8125.723	-8385.987	260.2637	0.9174814	1.844344	0.5925595	6.337631
420	-8116.306	-8374.673	258.3678	0.854868	1.710016	0.541434	7.481833
426	-8109.033	-8367.142	258.1093	0.7436757	1.710016	0.5068313	7.709342
432	-8117.431	-8376.462	259.0319	0.7943833	1.614257	0.5452664	7.189593
438	-8119.2	-8377.03	257.8301	0.8774833	1.706562	0.5452664	7.755469
444	-8131.321	-8389.029	257.7088	0.8932605	1.643103	0.6435253	7.757803
450	-8126.502	-8386.379	259.8771	0.9328151	1.442741	0.5515948	6.721271
456	-8123.355	-8381.186	257.8305	0.8657261	1.442741	0.5515948	7.856101
462	-8114.21	-8370.937	256.7272	0.7669235	1.700249	0.5515948	8.399285
468	-8120.989	-8378.808	257.8197	0.7947266	1.747704	0.5515948	7.785574
474	-8120.5	-8379.057	258.5577	0.8323972	1.953572	0.5595764	7.294786
480	-8116.644	-8374.149	257.5054	0.8323972	1.953572	0.5595764	7.858164
486	-8115.393	-8374.572	259.1789	0.9386682	1.664002	0.5506423	7.010072
492	-8124.778	-8383.91	259.1317	0.8638936	1.840228	0.5506423	7.013961
498	-8138.845	-8397.365	258.5195	0.9323211	1.689619	0.4711941	7.428032
504	-8146.726	-8407.028	260.302	0.9588794	1.513722	0.514353	6.480635
510	-8139.489	-8398.367	258.8785	0.9139835	1.82894	0.514353	7.157922
516	-8142.883	-8404.319	261.4358	0.9336823	1.684869	0.514353	5.812091
522	-8117.168	-8376.481	259.3131	0.9858349	1.866574	0.4985757	6.886562
528	-8114.641	-8373.655	259.0134	0.9111519	1.446828	0.6314888	7.133428
534	-8133.341	-8393.469	260.1281	0.9094763	1.723521	0.610814	6.443252
540	-8139.163	-8397.971	258.8088	0.8999328	1.878936	0.4680062	7.22792
546	-8124.363	-8383.673	259.3096	0.8738423	1.878936	0.5469314	6.902885
552	-8137.889	-8395.037	257.1479	0.8332883	1.9021	0.5643013	8.061129
558	-8131.681	-8389.956	258.2754	0.8332883	1.542446	0.5643013	7.585935
564	-8106.615	-8365.571	258.9561	0.9138795	1.778461	0.5469692	7.105706
570	-8114.874	-8373.413	258.5393	0.9363905	1.802351	0.6176232	7.252949
576	-8121.11	-8380.391	259.281	0.9273154	1.724902	0.5532893	6.937064
582	-8132.338	-8392.119	259.781	0.9259155	1.724733	0.6341173	6.603986
588	-8153.827	-8413.871	260.0438	0.8795131	1.724733	0.5583689	6.546802
594	-8136.748	-8396	259.2517	0.8667412	1.814559	0.5532893	6.954307
600	-8135.022	-8392.49	257.4688	0.7420683	1.678863	0.6643779	7.938508
606	-8137.06	-8394.027	256.9678	0.7926852	1.678863	0.6643779	8.17859
612	-8126.526	-8384.3	257.7739	0.8526522	1.655923	0.6708559	7.720136
618	-8123.793	-8383.568	259.7743	0.8598982	1.805261	0.6056021	6.637004
624	-8115.786	-8375.556	259.7692	0.8749905	1.805261	0.5987723	6.637004
630	-8128.31	-8385.717	257.4068	0.8249102	1.69358	0.5969099	7.972662
636	-8125.39	-8383.581	258.1915	0.8117994	1.755242	0.5957933	7.539439
642	-8133.545	-8392.666	259.1214	0.9103625	1.755242	0.5529247	7.021756
648	-8131.415	-8390.813	259.3976	0.748465	1.549482	0.5529247	7.035776
654	-8130.33	-8389.372	259.0421	0.8892316	1.872677	0.5529247	7.035776
660	-8106.664	-8366.761	260.0976	0.865058	1.77736	0.5018014	6.555549
666	-8107.599	-8367.335	259.7361	0.8704467	1.795337	0.5018014	6.741871
672	-8128.027	-8386.092	258.0655	0.8442075	1.795337	0.6525308	7.532745
